date,open,high,low,close,prev._close,change,%_change,source_file
2022-04-07,19.0225,19.49,17.7175,18.9975,19.0225,-0.03,-0.13,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-04-08,18.9975,20.0875,17.53,17.6875,18.9975,-1.31,-6.9,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-04-11,17.6875,19.145,16.6425,18.27,17.6875,0.58,3.29,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-04-12,18.27,18.6725,15.085,18.1575,18.27,-0.11,-0.62,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-04-13,18.1575,18.4025,16.1925,17.785,18.1575,-0.37,-2.05,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-04-18,17.785,20.4825,17.785,19.335,17.785,1.55,8.72,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-04-19,19.335,20.8075,14.6275,19.775,19.335,0.44,2.28,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-04-20,19.775,20.265,17.835,18.6725,19.775,-1.1,-5.58,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-04-21,18.6725,18.6725,13.35,17.8525,18.6725,-0.82,-4.39,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-04-22,17.8525,18.76,17.8125,18.3525,17.8525,0.5,2.8,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-04-25,18.3525,21.755,18.3525,21.2575,18.3525,2.91,15.83,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-04-26,21.2575,21.2575,19.005,19.1875,21.2575,-2.07,-9.74,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-04-27,19.1875,21.365,19.1875,20.605,19.1875,1.42,7.39,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-04-28,20.605,20.605,19.0225,19.3775,20.605,-1.23,-5.96,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-04-29,19.3775,19.6475,18.2075,19.415,19.3775,0.04,0.19,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-05-02,19.415,21.0625,19.415,20.2825,19.415,0.87,4.47,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-05-04,20.2825,22.3875,18.4275,21.8775,20.2825,1.6,7.86,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-05-05,21.8775,21.8775,19.615,20.2925,21.8775,-1.59,-7.24,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-05-06,20.2925,21.81,19.3325,21.25,20.2925,0.96,4.72,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-05-09,21.25,22.52,18.96,22.0325,21.25,0.78,3.68,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-05-10,22.0325,22.515,21.2175,22.3025,22.0325,0.27,1.23,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-05-11,22.3025,24.1875,20.4825,22.8025,22.3025,0.5,2.24,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-05-12,22.8025,25.315,21.15,24.265,22.8025,1.46,6.41,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-05-13,24.265,24.265,20.9675,23.485,24.265,-0.78,-3.21,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-05-16,23.485,24.7125,21.275,24.5275,23.485,1.04,4.44,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-05-17,24.5275,24.84,17.095,22.7425,24.5275,-1.79,-7.28,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-05-18,22.7425,23.06,21.34,22.295,22.7425,-0.45,-1.97,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-05-19,22.295,25.1475,22.295,24.5575,22.295,2.26,10.15,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-05-20,24.5575,24.5575,22.4425,23.1,24.5575,-1.46,-5.94,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-05-23,23.1,23.975,20.5,23.3975,23.1,0.3,1.29,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-05-24,23.3975,25.99,23.155,25.635,23.3975,2.24,9.56,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-05-25,25.635,25.635,24.3625,25.2825,25.635,-0.35,-1.38,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-05-26,25.2825,25.2825,22.535,22.7175,25.2825,-2.56,-10.15,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-05-27,22.7175,22.7175,21.2,21.48,22.7175,-1.24,-5.45,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-05-30,21.48,21.48,19.72,19.98,21.48,-1.5,-6.98,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-05-31,19.98,20.75,19.68,20.4775,19.98,0.5,2.49,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-06-01,20.4775,21.3375,18.23,20.845,20.4775,0.37,1.79,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-06-02,20.845,20.9975,18.3825,20.32,20.845,-0.52,-2.52,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-06-03,20.32,20.32,18.735,19.975,20.32,-0.34,-1.7,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-06-06,19.975,20.6825,18.65,20.2025,19.975,0.23,1.14,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-06-07,20.2025,21.07,19.4325,20.425,20.2025,0.22,1.1,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-06-08,20.425,20.6875,19.3875,19.8375,20.425,-0.59,-2.88,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-06-09,19.8375,19.8375,18.155,19.14,19.8375,-0.7,-3.52,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-06-10,19.14,19.755,18.255,19.575,19.14,0.43,2.27,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-06-13,19.575,22.8025,19.575,22.365,19.575,2.79,14.25,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-06-14,22.365,22.635,18.9475,21.8875,22.365,-0.48,-2.14,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-06-15,21.8875,22.365,20.95,22.1475,21.8875,0.26,1.19,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-06-16,22.1475,28.13,19.7475,22.8675,22.1475,0.72,3.25,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-06-17,22.8675,23.69,18.0225,22.7575,22.8675,-0.11,-0.48,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-06-20,22.7575,23.635,16.0025,22.4125,22.7575,-0.34,-1.52,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-06-21,22.4125,22.4125,20.48,21.1425,22.4125,-1.27,-5.67,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-06-22,21.1425,21.785,19.32,21.3,21.1425,0.16,0.74,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-06-23,21.3,21.71,18.355,20.88,21.3,-0.42,-1.97,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-06-24,20.88,21.2725,18.6825,20.55,20.88,-0.33,-1.58,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-06-27,20.55,21.12,19.545,21.005,20.55,0.45,2.21,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-06-28,21.005,21.68,20.5125,21.45,21.005,0.45,2.12,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-06-29,21.45,22.085,21.45,21.9,21.45,0.45,2.1,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-06-30,21.9,22.2725,21.5375,21.84,21.9,-0.06,-0.27,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-07-01,21.84,22.43,21.1425,21.25,21.84,-0.59,-2.7,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-07-04,21.25,22.2475,20.9225,20.9725,21.25,-0.28,-1.31,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-07-05,20.9725,20.9925,20.235,20.7875,20.9725,-0.18,-0.88,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-07-06,20.7875,20.7875,19.8225,20.2675,20.7875,-0.52,-2.5,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-07-07,20.2675,20.2675,19.0125,19.2025,20.2675,-1.06,-5.25,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-07-08,19.2025,19.2025,18.22,18.395,19.2025,-0.81,-4.21,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-07-11,18.395,19.215,16.6475,18.3675,18.395,-0.03,-0.15,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-07-12,18.3675,18.6375,17.3,18.5475,18.3675,0.18,0.98,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-07-13,18.5475,18.7625,17.735,18.52,18.5475,-0.03,-0.15,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-07-14,18.52,18.69,17.75,18.34,18.52,-0.18,-0.97,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-07-15,18.34,18.34,17.53,17.5975,18.34,-0.74,-4.05,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-07-18,17.5975,18.1825,16.47,17.16,17.5975,-0.44,-2.49,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-07-19,17.16,17.6675,16.3525,17.2025,17.16,0.04,0.25,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-07-20,17.2025,17.2725,15.6575,16.8225,17.2025,-0.38,-2.21,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-07-21,16.8225,17.2075,15.9725,16.8575,16.8225,0.04,0.21,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-07-22,16.8575,16.9625,16.1625,16.65,16.8575,-0.21,-1.23,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-07-25,16.65,17.9075,16.1775,17.68,16.65,1.03,6.19,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-07-26,17.68,18.2675,17.355,18.17,17.68,0.49,2.77,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-07-27,18.17,18.635,17.7525,18.13,18.17,-0.04,-0.22,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-07-28,18.13,18.13,16.8375,17.0125,18.13,-1.12,-6.16,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-07-29,17.0125,18.645,16.49,16.55,17.0125,-0.46,-2.72,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-08-01,16.55,17.625,15.8925,17.485,16.55,0.93,5.65,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-08-02,17.485,18.755,17.485,18.53,17.485,1.05,5.98,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-08-03,18.53,19.1725,17.95,18.45,18.53,-0.08,-0.43,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-08-04,18.45,21.06,17.625,19.2575,18.45,0.81,4.38,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-08-05,19.2575,19.39,18.0075,18.915,19.2575,-0.34,-1.78,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-08-08,18.915,20.18,17.78,19.3025,18.915,0.39,2.05,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-08-10,19.3025,20.77,18.8575,19.5875,19.3025,0.29,1.48,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-08-11,19.5875,19.5875,18.2,18.355,19.5875,-1.23,-6.29,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-08-12,18.355,18.525,17.41,17.6075,18.355,-0.75,-4.07,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-08-16,17.6075,18.355,17.005,17.685,17.6075,0.08,0.44,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-08-17,17.685,17.7875,16.5475,17.6775,17.685,-0.01,-0.04,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-08-18,17.6775,18.44,16.715,17.35,17.6775,-0.33,-1.85,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-08-19,17.35,18.5675,16.875,18.285,17.35,0.93,5.39,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-08-22,18.285,19.295,17.2,19.0375,18.285,0.75,4.12,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-08-23,19.0375,19.59,18.1775,19.05,19.0375,0.01,0.07,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-08-24,19.05,19.3425,17.9875,18.43,19.05,-0.62,-3.25,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-08-25,18.43,20.215,17.275,19.57,18.43,1.14,6.19,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-08-26,19.57,19.57,15.825,18.215,19.57,-1.36,-6.92,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-08-29,18.215,21.205,18.215,19.8225,18.215,1.61,8.83,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-08-30,19.8225,19.8225,17.2575,18.7,19.8225,-1.12,-5.66,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-09-01,18.7,20.9875,18.105,19.8725,18.7,1.17,6.27,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-09-02,19.8725,20.1425,17.4025,19.55,19.8725,-0.32,-1.62,hist_india_vix_-07-04-2022-to-07-04-2023.csv
2022-09-05,19.55,20.29,19.45,19.6625,19.55,0.11,0.58,hist_india_vix_-07-04-2022-to-07-04-2023.csv
